NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
RAFAEL ZAFRA,10,10.07,PROGRAMA INTEGRAL DE SILICOSIS EN ANDALUCIA EN EL MANIPULADO DE AGLOMERADOS DE CUARZO - PISA,"CONSEJERIA DE SALUD / COBSEJERIA  DE EMPLEO, EMPRESA Y COMERCIO",JUAN FRANCISCO ALVAREZ ZARALLO,2017,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,
RAFAEL ZAFRA,10,10.08,PLAN ANDALUZ DE LA BICICLETA,CONSEJERIA DE FOMENTO Y VIVIENDA,COMISION DE SEGUIMIENTO DEL PLAN ANDALUZ DE LA BICICLETA,2014,2020,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
RAFAEL ZAFRA,10,10.09,PROGRAMA DE INTERMEDIACIÓN EN EL MERCADO DEL ALQUILER DE VIVIENDAS EN LA COMUNIDAD AUTONOMA DE ANDALUCIA - PIMA,CONSEJERIA DE FOMENTO Y VIVIENDA,DIRECCION GENERAL DE VIVIENDA,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Francisco Muñoz,12,12.1,TAU (Gestión Integral de departamentos de Informática),Consejería de Medio Ambiente - Delegación de Huelva,Francisco Javier Garrido Freire. Sv. de Informática. Consejería de Igualdad y Políticas Sociales; Eduardo Antón Santa-María; proyectotau@users.sourceforge.net; ProyectoTAU2@gmail.com,2006,Actualidad,SI,EM,Huelva,ANDALUCIA,,,X,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.10,MINERVA,"Consejería de Empleo, Empresa y Comercio y Vodafone, ...",Directora: García Catalina; Coordinador de Proyectos: Salvador Romero; Responsable de comunicación: Carla García,2012,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Francisco Muñoz,12,12.11,ESTRATEGIA ANDALUZA DE BIOECONOMIA CIRCULAR,"Consejería de Agricultura, Pesca y Desarrollo Rural ",desconocido,2016,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,X,,,,,
Francisco Muñoz,12,12.12,RED DE MUJERES RURALES Y URBANAS (RMRU),Consejería de Agricultura y Pesca,red.mujeres.rurales.urbanas@gmail.com,2011,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,
Francisco Muñoz,12,12.2,TALLER DE VEHICULOS OFICIALES MULTIDELEGACION (CORDOBA),D.T de Fomento y Vivienda en Córdoba,Manuel López Zamorano. Asesor Técnico Sv. Carreteras. D.T. Fomento y Vivienda en Córdoba. ,2013,Actualidad,SI,EM,Córdoba,Córdoba,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.3,WIKI DT Empleo y Enonomía de Málaga,Consejerías de Empleo y de Conocimiento ,Francisco José Alcázar Martín (Jefe Dep. Informática),2006,Actualidad,SI,EM,Málaga,Málaga,,X,,,X,X,X,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.4,HERRAMIENTA VERIFICACION LINEAS DE COMUNICACION,Delegación de Medio Ambiente y Ordenación del Territorio de Málaga,Felipe Muñoz Brieva.,2018,Actualidad,SI,EM,Málaga,Málaga,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.5,REPOSITORIO SOWTWARE LIBRE JUNTA DE ANDALUCIA,"Consejería de Innovación, Ciencia y Empresa",desconocido,2005,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.6,POR UN MILLON DE PASOS (PUMP) ,Consejería de Salud,Rosario Rodríguez Martínez (porunmillondepasos.csalud@juntadeandalucia.es) ,2008,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,
Francisco Muñoz,12,12.7,SAC (Servicio de Atención al Ciudadano),Consejería de Empleo y Desarrollo Tecnológico,Teléfono 955 063 910; email:  buzonweb.sac.ceec@juntadeandalucia.es,2004,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Francisco Muñoz,12,12.8,PiCuida,Servicio Andaluz de Salud,Serafín Fernández Salazar,2015,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Francisco Muñoz,12,12.9,BANCO DE PROYECTOS EMPRESARIALES PARA EMPRENDER,"Consejería de Empleo, Empresa (Andalucia Emprende)","Jorge Lozano, info@andaluciaemprende.es",2017,Actualidad,SI,INST,ANDALUCIA,ANDALUCIA,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
MARÍA PÉREZ,13,13.1,BigData en nuestras estadísticas predictivas,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Secretaría General de Agricultura, Ganadería y Alimentación",Pilar Garrido/Juan Bascón,2017,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
MARÍA PÉREZ,13,13.2,"GEOPORTAL, Toda La Información Geográfica De Tu Comunidad A Solo Un Clic!","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Secretaría General de Agricultura, Ganadería y Alimentación","Servicio de estudios y estadísticas, servicio de Informática, Pilar Garrido, Juan Bascón y Servicio de Informática",2018,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
MARÍA PÉREZ,13,13.3,Cal Patrimonio de la Unesco ( Museo de la Cal),"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Dirección General de Industrias, Innovación y Cadena Agroalimentaria",Servicio de Programas y Desarrollo Rural. María Castillo y Rodrigo Ortiz,2014,ACTUALIDAD,SI,EM,ANDALUCIA,SEVILLA,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,
MARÍA PÉREZ,13,13.4,Identificación y trazabilidad animal,"Consejería de Agricultura, Ganadería , Pesca y Desarrollo sostenible. Dirección General  de Producción Agrícola y Ganadera",Servicio de sanidad animal y Servicio de Producción ganadera. Manuel Fernández Morente y  Rafael Bazán,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
MARÍA PÉREZ,13,13.5,Adaptación de tubos para toma de muestras en explotaciones ganaderas,"Consejería de Agricultura; Ganadería, Pesca y Desarrollo Sostenible. Dirección General de Producción Agrícola y Ganadera",Servicio de Sanidad Animal y Servicio de Producción Ganadera. Manuel Fernández Morente y Rafael Bazán,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
LUCIA QUIROGA,14,14.1,PROGRAMA DE FORMACIÓN DE ACCESO Y ACOGIDA A LAS NUEVAS PERSONAS FUNCIONARIAS,INSTITUTO ANDALUZ DE ADMINISTRACIÓN PÚBLICA,CARMEN SEISDEDOS,2019,EN VIGOR,SI,INST,ANDALUCIA,ANDALUCIA,,,1,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
LUCIA QUIROGA,14,14.2,JUNTACAR: UNA NUEVA FORMA DE COMPARTIR MEDIO DE TRANSPORTE ENTRE LAS PERSONAS EMPLEADAS PÚBLICAS,"CONSEJERÍA DE PRESIDENCIA, ADMINISTRACIÓN PÚBLICA E INTERIOR, OFICINA PARA LA CALIDAD DE LOS SERVICIOS","CARMEN MOLERO, JAVIER CAMPOS, BEATRIZ BÁEZ, RAFAEL GUTIÉRREZ Y DANIEL MARTÍNEZ (VARIAS DELEGACIONES DE MÁLAGA)",2018,,NO,EM,MALAGA,MALAGA,,,,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
LUCIA QUIROGA,14,14.3,TAREAS DE ACTIVIDAD FÍSICA PARA MAYORES: PLATAFORMA MULTIMEDIA COLABORATIVA PARA PROFESIONALES DE LA EDUCACIÓN FÍSICA Y EL DEPORTE ,"CONSEJERÍA DE TURISMO Y DEPORTE, INSTITUTO ANDALUZ DEL DEPORTE ",ANTONIO CASIMIRO (UNIVERSIDAD DE ALMERÍA),2010,ACTUALIZADO 2018,NO,EM,ALMERIA,ANDALUCIA,1,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,
LUCIA QUIROGA,14,14.4,BAILANDO VOY: TARDES DE ACTIVIDAD FÍSICA PARA PERSONAS CON INSUFICIENCIA CARDIACA,"CONSEJERÍA DE TURISMO Y DEPORTE, INSTITUTO ANDALUZ DEL DEPORTE ",SONIA (JEFA DE ENFERMERÍA HOSPITAL CARLOS HAYA DE MÁLAGA) ,2017,2018,SI,EM,MALAGA,MALAGA,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
LUCIA QUIROGA,14,14.5,PREVENCIÓN DE LA VIOLENCIA EN EL DEPORTE: HERRAMIENTAS PARA ERRADICAR LA VIOLENCIA EN EL FÚTBOL BASE,"CONSEJERÍA DE TURISMO Y DEPORTE, INSTITUTO ANDALUZ DEL DEPORTE ","MARÍA JOSÉ BENÍTEZ (INSTITUTO DE CRIMINOLOGÍA DE MÁLAGA)
",2017,EN VIGOR,NO,EM,MALAGA,MALAGA,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,
